                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5556,                 1.3658,                 1.4221,                0.59192,                0.36232,                0.40166,                0.21042,                 1.6983,                 1.6822,                 1.5909,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.5161,                 1.3216,                 1.3978,                0.52001,                0.42829,                0.43391,                0.24038,                 1.5753,                 1.5337,                 1.5485,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4961,                 1.3029,                 1.4049,                0.61184,                 0.4936,                0.46987,                0.25394,                 1.5976,                 1.4381,                 1.5371,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4499,                 1.2803,                 1.3879,                0.64537,                 0.4872,                0.49357,                0.26699,                 1.5909,                 1.3229,                 1.5898,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4529,                 1.2747,                 1.3766,                0.68858,                 0.4461,                  0.486,                0.25343,                 1.5993,                 1.3492,                 1.5944,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4548,                 1.2751,                 1.3873,                0.56612,                0.43287,                0.44524,                0.22139,                 1.7909,                 1.6654,                 1.7314,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4332,                 1.2438,                 1.3596,                0.57228,                0.44588,                0.47129,                0.25851,                 1.5769,                 1.3811,                  1.527,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4628,                 1.2441,                 1.3733,                0.67769,                 0.4278,                0.49694,                  0.238,                 1.6536,                 1.4481,                 1.5931,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.443,                  1.264,                 1.3588,                0.51793,                0.46416,                0.45659,                0.24267,                 1.5645,                 1.4889,                 1.5257,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4264,                 1.2536,                  1.359,                0.50391,                0.50797,                0.47493,                0.26722,                 1.5316,                 1.3163,                 1.5097,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.4353,                 1.2154,                 1.3452,                0.60028,                0.44579,                0.48834,                0.26815,                 1.5095,                 1.3406,                  1.478,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4972,                 1.2495,                 1.3723,                0.58825,                0.45523,                0.47822,                0.26562,                 1.4331,                 1.3771,                 1.4317,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4217,                 1.1903,                 1.3522,                0.58862,                0.46159,                0.46573,                0.25272,                 1.6053,                 1.5357,                 1.5074,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4093,                 1.1902,                 1.3398,                0.65765,                  0.435,                0.48551,                 0.2621,                 1.5379,                 1.4502,                 1.4915,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3985,                 1.1831,                  1.338,                0.58692,                0.48488,                0.50607,                0.26604,                 1.5168,                 1.3208,                 1.4883,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3932,                 1.1458,                 1.3186,                0.65777,                0.39111,                0.46661,                 0.2498,                 1.5486,                 1.4839,                  1.531,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3817,                 1.1489,                  1.336,                0.62807,                 0.4422,                0.48708,                0.26276,                 1.6443,                 1.3532,                 1.5964,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3779,                 1.1848,                 1.3209,                0.58998,                0.44439,                0.47571,                0.25576,                 1.5441,                 1.4319,                 1.5175,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.4151,                 1.1802,                 1.3283,                0.56773,                0.49878,                 0.5054,                0.25999,                  1.574,                 1.4719,                 1.5527,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3689,                 1.1792,                 1.3171,                0.63139,                0.47199,                0.51608,                0.28732,                 1.5389,                 1.2738,                 1.5406,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3508,                 1.1436,                 1.3245,                0.62091,                 0.4615,                0.50292,                0.27289,                 1.5824,                 1.3203,                 1.5701,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3782,                 1.1409,                 1.3302,                0.66316,                0.44939,                0.50163,                0.26845,                 1.5788,                 1.2688,                 1.5413,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.366,                 1.1292,                 1.3153,                0.64554,                0.41703,                0.47668,                0.24878,                 1.6293,                 1.4275,                 1.6305,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3196,                 1.0878,                 1.2851,                0.67098,                0.45607,                0.48824,                0.27042,                 1.6178,                 1.4053,                 1.5956,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3561,                 1.1216,                 1.3151,                 0.6408,                0.45171,                0.50612,                 0.2808,                 1.5452,                 1.3553,                 1.5428,             0.00072631,             0.00072631,             0.00072631
